calendar_date,year,month,day,month_name,date_label,drink_index,alcohol,amount,unit,abv,price,currency,notes,preview
2023-01-01,2023,1,1,January,1 January,1,Beer,3000,ml,,,₽,,3l
2023-01-02,2023,1,2,January,2 January,1,Beer,1000,ml,,,₽,,1l
2023-01-03,2023,1,3,January,3 January,1,Beer,1200,ml,4.5,,₽,у кирилла,1.2l
2023-01-04,2023,1,4,January,4 January,1,,,,,,,,
2023-01-05,2023,1,5,January,5 January,1,Beer,1000,ml,,,₽,,1l
2023-01-06,2023,1,6,January,6 January,1,Beer,1000,ml,,,₽,,1l
2023-01-07,2023,1,7,January,7 January,1,Beer,1000,ml,4.5,120,₽,,"1l
120 ₽"
2023-01-08,2023,1,8,January,8 January,1,Beer,1500,ml,5,,₽,у сереги,1.5l
2023-01-09,2023,1,9,January,9 January,1,,,,,,,,
2023-01-10,2023,1,10,January,10 January,1,,,,,,,,
2023-01-11,2023,1,11,January,11 January,1,,,,,,,,
2023-01-12,2023,1,12,January,12 January,1,Beer,3000,ml,5,1000,₽,,"3l
1000 ₽"
2023-01-13,2023,1,13,January,13 January,1,,,,,,,,
2023-01-14,2023,1,14,January,14 January,1,Beer,1000,ml,4.8,110,₽,,"1l
110 ₽"
2023-01-15,2023,1,15,January,15 January,1,Beer,500,ml,4.8,55,₽,,"0.5l
55 ₽"
2023-01-16,2023,1,16,January,16 January,1,Beer,1000,ml,5.5,120,₽,,"1l
120 ₽"
2023-01-17,2023,1,17,January,17 January,1,Beer,500,ml,65,80,₽,,"0.5l
80 ₽"
2023-01-18,2023,1,18,January,18 January,1,,,,,,,,
2023-01-19,2023,1,19,January,19 January,1,Beer,2000,ml,5,240,₽,,"2l
240 ₽"
2023-01-20,2023,1,20,January,20 January,1,Beer,400,ml,5.5,,₽,,0.4l
2023-01-21,2023,1,21,January,21 January,1,,,,,,,,
2023-01-22,2023,1,22,January,22 January,1,,,,,,,,
2023-01-23,2023,1,23,January,23 January,1,,,,,,,,
2023-01-24,2023,1,24,January,24 January,1,,,,,,,,
2023-01-25,2023,1,25,January,25 January,1,,,,,,,,
2023-01-26,2023,1,26,January,26 January,1,,,,,,,,
2023-01-27,2023,1,27,January,27 January,1,,,,,,,,
2023-01-28,2023,1,28,January,28 January,1,,,,,,,,
2023-01-29,2023,1,29,January,29 January,1,,,,,,,,
2023-01-30,2023,1,30,January,30 January,1,,,,,,,,
2023-01-31,2023,1,31,January,31 January,1,,,,,,,,
2023-02-01,2023,2,1,February,1 February,1,,,,,,,,
2023-02-02,2023,2,2,February,2 February,1,,,,,,,,
2023-02-03,2023,2,3,February,3 February,1,,,,,,,,
2023-02-04,2023,2,4,February,4 February,1,,,,,,,,
2023-02-05,2023,2,5,February,5 February,1,,,,,,,,
2023-02-06,2023,2,6,February,6 February,1,,,,,,,,
2023-02-07,2023,2,7,February,7 February,1,Beer,2000,ml,5,250,₽,,"2l
250 ₽"
2023-02-08,2023,2,8,February,8 February,1,Beer,1500,ml,,200,₽,,"1.5l
200 ₽"
2023-02-09,2023,2,9,February,9 February,1,,,,,,,,
2023-02-10,2023,2,10,February,10 February,1,,,,,,,,
2023-02-11,2023,2,11,February,11 February,1,,,,,,,,
2023-02-12,2023,2,12,February,12 February,1,Beer,3500,ml,5,1200,₽,,"3.5l
1200 ₽"
2023-02-13,2023,2,13,February,13 February,1,,,,,,,,
2023-02-14,2023,2,14,February,14 February,1,,,,,,,,
2023-02-15,2023,2,15,February,15 February,1,Beer,500,ml,5.9,60,₽,,"0.5l
60 ₽"
2023-02-16,2023,2,16,February,16 February,1,Beer,2000,ml,5.5,200,₽,,"2l
200 ₽"
2023-02-17,2023,2,17,February,17 February,1,Beer,500,ml,,60,₽,,"0.5l
60 ₽"
2023-02-18,2023,2,18,February,18 February,1,,,,,,,,
2023-02-19,2023,2,19,February,19 February,1,Beer,1250,ml,,150,₽,,"1.25l
150 ₽"
2023-02-20,2023,2,20,February,20 February,1,Whiskey,150,ml,40,,₽,,0.15l
2023-02-20,2023,2,20,February,20 February,2,Beer,2000,ml,5,200,₽,,"2l
200 ₽"
2023-02-21,2023,2,21,February,21 February,1,,,,,,,,
2023-02-22,2023,2,22,February,22 February,1,Cocktail,250,ml,20,300,₽,"деревенька почти, настойка","0.25l
300 ₽"
2023-02-22,2023,2,22,February,22 February,2,Beer,1800,ml,,740,₽,,"1.8l
740 ₽"
2023-02-23,2023,2,23,February,23 February,1,Beer,250,ml,,,₽,,0.25l
2023-02-24,2023,2,24,February,24 February,1,,,,,,,,
2023-02-25,2023,2,25,February,25 February,1,,,,,,,,
2023-02-26,2023,2,26,February,26 February,1,Beer,2500,ml,6,800,₽,,"2.5l
800 ₽"
2023-02-26,2023,2,26,February,26 February,2,Liquor,250,ml,20,140,₽,,"0.25l
140 ₽"
2023-02-27,2023,2,27,February,27 February,1,,,,,,,,
2023-02-28,2023,2,28,February,28 February,1,Whiskey,150,ml,40,,₽,,0.15l
2023-02-28,2023,2,28,February,28 February,2,Beer,1700,ml,,150,₽,,"1.7l
150 ₽"
2023-03-01,2023,3,1,March,1 March,1,,,,,,,,
2023-03-02,2023,3,2,March,2 March,1,Whiskey,50,ml,40,,₽,,50ml
2023-03-02,2023,3,2,March,2 March,2,Red wine,600,ml,,300,₽,,"0.6l
300 ₽"
2023-03-02,2023,3,2,March,2 March,3,Beer,800,ml,,,₽,,0.8l
2023-03-03,2023,3,3,March,3 March,1,Rum,100,ml,,,₽,,0.1l
2023-03-03,2023,3,3,March,3 March,2,Beer,2000,ml,,220,₽,,"2l
220 ₽"
2023-03-04,2023,3,4,March,4 March,1,Beer,2500,ml,,200,₽,,"2.5l
200 ₽"
2023-03-05,2023,3,5,March,5 March,1,Red wine,1200,ml,,800,₽,,"1.2l
800 ₽"
2023-03-06,2023,3,6,March,6 March,1,,,,,,,,
2023-03-07,2023,3,7,March,7 March,1,Beer,2500,ml,,250,₽,,"2.5l
250 ₽"
2023-03-08,2023,3,8,March,8 March,1,,,,,,,,
2023-03-09,2023,3,9,March,9 March,1,,,,,,,,
2023-03-10,2023,3,10,March,10 March,1,,,,,,,,
2023-03-11,2023,3,11,March,11 March,1,Vodka,200,ml,40,,₽,,0.2l
2023-03-12,2023,3,12,March,12 March,1,,,,,,,,
2023-03-13,2023,3,13,March,13 March,1,Cocktail,100,ml,,,₽,лимончелло,0.1l
2023-03-13,2023,3,13,March,13 March,2,Beer,900,ml,,,₽,,0.9l
2023-03-14,2023,3,14,March,14 March,1,,,,,,,,
2023-03-15,2023,3,15,March,15 March,1,,,,,,,,
2023-03-16,2023,3,16,March,16 March,1,Vodka,100,ml,40,,₽,,0.1l
2023-03-16,2023,3,16,March,16 March,2,Beer,2000,ml,,150,₽,,"2l
150 ₽"
2023-03-17,2023,3,17,March,17 March,1,Whiskey,200,ml,40,,₽,,0.2l
2023-03-17,2023,3,17,March,17 March,2,Beer,3500,ml,,1000,₽,,"3.5l
1000 ₽"
2023-03-18,2023,3,18,March,18 March,1,Beer,300,ml,8.5,,₽,,0.3l
2023-03-19,2023,3,19,March,19 March,1,Beer,1500,ml,,300,₽,,"1.5l
300 ₽"
2023-03-20,2023,3,20,March,20 March,1,Beer,2200,ml,,350,₽,,"2.2l
350 ₽"
2023-03-21,2023,3,21,March,21 March,1,,,,,,,,
2023-03-22,2023,3,22,March,22 March,1,,,,,,,,
2023-03-23,2023,3,23,March,23 March,1,Beer,1000,ml,,145,₽,,"1l
145 ₽"
2023-03-24,2023,3,24,March,24 March,1,Cocktail,200,ml,20,,₽,,0.2l
2023-03-24,2023,3,24,March,24 March,2,Beer,200,ml,,,₽,,0.2l
2023-03-25,2023,3,25,March,25 March,1,,,,,,,,
2023-03-26,2023,3,26,March,26 March,1,,,,,,,,
2023-03-27,2023,3,27,March,27 March,1,,,,,,,,
